pwm,voltage,value
1100,10.0,13.34
1125,10.0,11.87
1150,10.0,10.482
1175,10.0,9.178
1200,10.0,7.957
1225,10.0,6.818
1250,10.0,5.763
1275,10.0,4.791
1300,10.0,3.901
1325,10.0,3.095
1350,10.0,2.372
1375,10.0,1.731
1400,10.0,1.174
1425,10.0,0.7
1450,10.0,0.308
1475,10.0,0.05
1500,10.0,0.05
1525,10.0,0.05
1550,10.0,0.312
1575,10.0,0.708
1600,10.0,1.188
1625,10.0,1.752
1650,10.0,2.4
1675,10.0,3.132
1700,10.0,3.948
1725,10.0,4.848
1750,10.0,5.832
1775,10.0,6.9
1800,10.0,8.052
1825,10.0,9.288
1850,10.0,10.608
1875,10.0,12.012
1900,10.0,13.5
1100,12.0,15.64
1125,12.0,13.916
1150,12.0,12.29
1175,12.0,10.76
1200,12.0,9.328
1225,12.0,7.994
1250,12.0,6.756
1275,12.0,5.616
1300,12.0,4.574
1325,12.0,3.628
1350,12.0,2.78
1375,12.0,2.03
1400,12.0,1.376
1425,12.0,0.82
1450,12.0,0.361
1475,12.0,0.05
1500,12.0,0.05
1525,12.0,0.05
1550,12.0,0.393
1575,12.0,0.892
1600,12.0,1.496
1625,12.0,2.206
1650,12.0,3.022
1675,12.0,3.944
1700,12.0,4.972
1725,12.0,6.105
1750,12.0,7.344
1775,12.0,8.689
1800,12.0,10.14
1825,12.0,11.696
1850,12.0,13.358
1875,12.0,15.126
1900,12.0,17.0
1100,14.0,17.94
1125,14.0,15.963
1150,14.0,14.097
1175,14.0,12.343
1200,14.0,10.7
1225,14.0,9.169
1250,14.0,7.75
1275,14.0,6.442
1300,14.0,5.246
1325,14.0,4.162
1350,14.0,3.189
1375,14.0,2.328
1400,14.0,1.579
1425,14.0,0.941
1450,14.0,0.415
1475,14.0,0.05
1500,14.0,0.05
1525,14.0,0.05
1550,14.0,0.474
1575,14.0,1.075
1600,14.0,1.804
1625,14.0,2.66
1650,14.0,3.644
1675,14.0,4.756
1700,14.0,5.995
1725,14.0,7.362
1750,14.0,8.856
1775,14.0,10.478
1800,14.0,12.227
1825,14.0,14.104
1850,14.0,16.108
1875,14.0,18.24
1900,14.0,20.5
1100,16.0,20.24
1125,16.0,18.009
1150,16.0,15.904
1175,16.0,13.925
1200,16.0,12.072
1225,16.0,10.345
1250,16.0,8.744
1275,16.0,7.268
1300,16.0,5.919
1325,16.0,4.696
1350,16.0,3.598
1375,16.0,2.627
1400,16.0,1.781
1425,16.0,1.061
1450,16.0,0.468
1475,16.0,0.05
1500,16.0,0.05
1525,16.0,0.05
1550,16.0,0.555
1575,16.0,1.259
1600,16.0,2.112
1625,16.0,3.115
1650,16.0,4.267
1675,16.0,5.568
1700,16.0,7.019
1725,16.0,8.619
1750,16.0,10.368
1775,16.0,12.267
1800,16.0,14.315
1825,16.0,16.512
1850,16.0,18.859
1875,16.0,21.355
1900,16.0,24.0
1100,18.0,24.84
1125,18.0,22.102
1150,18.0,19.519
1175,18.0,17.09
1200,18.0,14.816
1225,18.0,12.696
1250,18.0,10.731
1275,18.0,8.92
1300,18.0,7.264
1325,18.0,5.763
1350,18.0,4.416
1375,18.0,3.224
1400,18.0,2.186
1425,18.0,1.303
1450,18.0,0.574
1475,18.0,0.05
1500,18.0,0.05
1525,18.0,0.05
1550,18.0,0.647
1575,18.0,1.468
1600,18.0,2.464
1625,18.0,3.634
1650,18.0,4.978
1675,18.0,6.496
1700,18.0,8.188
1725,18.0,10.055
1750,18.0,12.096
1775,18.0,14.311
1800,18.0,16.7
1825,18.0,19.264
1850,18.0,22.002
1875,18.0,24.914
1900,18.0,28.0
1100,20.0,29.44
1125,20.0,26.195
1150,20.0,23.133
1175,20.0,20.255
1200,20.0,17.559
1225,20.0,15.047
1250,20.0,12.718
1275,20.0,10.572
1300,20.0,8.61
1325,20.0,6.83
1350,20.0,5.234
1375,20.0,3.821
1400,20.0,2.591
1425,20.0,1.544
1450,20.0,0.68
1475,20.0,0.05
1500,20.0,0.05
1525,20.0,0.05
1550,20.0,0.74
1575,20.0,1.678
1600,20.0,2.816
1625,20.0,4.153
1650,20.0,5.689
1675,20.0,7.424
1700,20.0,9.358
1725,20.0,11.492
1750,20.0,13.824
1775,20.0,16.356
1800,20.0,19.086
1825,20.0,22.016
1850,20.0,25.145
1875,20.0,28.473
1900,20.0,32.0
