pwm,voltage,value
1100,10.0,18.733
1125,10.0,18.401
1150,10.0,18.053
1175,10.0,17.689
1200,10.0,17.306
1225,10.0,16.904
1250,10.0,16.48
1275,10.0,16.032
1300,10.0,15.561
1325,10.0,15.065
1350,10.0,14.544
1375,10.0,14.003
1400,10.0,13.452
1425,10.0,12.921
1450,10.0,12.484
1475,10.0,0.0
1500,10.0,0.0
1525,10.0,0.0
1550,10.0,14.513
1575,10.0,15.02
1600,10.0,15.639
1625,10.0,16.279
1650,10.0,16.908
1675,10.0,17.513
1700,10.0,18.09
1725,10.0,18.638
1750,10.0,19.158
1775,10.0,19.651
1800,10.0,20.119
1825,10.0,20.564
1850,10.0,20.988
1875,10.0,21.392
1900,10.0,21.778
1100,12.0,16.803
1125,12.0,16.505
1150,12.0,16.193
1175,12.0,15.866
1200,12.0,15.523
1225,12.0,15.162
1250,12.0,14.781
1275,12.0,14.38
1300,12.0,13.957
1325,12.0,13.512
1350,12.0,13.045
1375,12.0,12.56
1400,12.0,12.066
1425,12.0,11.589
1450,12.0,11.198
1475,12.0,0.0
1500,12.0,0.0
1525,12.0,0.0
1550,12.0,12.12
1575,12.0,12.543
1600,12.0,13.06
1625,12.0,13.594
1650,12.0,14.119
1675,12.0,14.625
1700,12.0,15.107
1725,12.0,15.564
1750,12.0,15.998
1775,12.0,16.41
1800,12.0,16.801
1825,12.0,17.173
1850,12.0,17.526
1875,12.0,17.864
1900,12.0,18.186
1100,14.0,15.162
1125,14.0,14.893
1150,14.0,14.612
1175,14.0,14.317
1200,14.0,14.007
1225,14.0,13.681
1250,14.0,13.338
1275,14.0,12.976
1300,14.0,12.594
1325,14.0,12.193
1350,14.0,11.771
1375,14.0,11.333
1400,14.0,10.888
1425,14.0,10.457
1450,14.0,10.104
1475,14.0,0.0
1500,14.0,0.0
1525,14.0,0.0
1550,14.0,10.403
1575,14.0,10.766
1600,14.0,11.209
1625,14.0,11.668
1650,14.0,12.119
1675,14.0,12.553
1700,14.0,12.967
1725,14.0,13.359
1750,14.0,13.732
1775,14.0,14.085
1800,14.0,14.421
1825,14.0,14.74
1850,14.0,15.043
1875,14.0,15.333
1900,14.0,15.61
1100,16.0,13.78
1125,16.0,13.536
1150,16.0,13.28
1175,16.0,13.012
1200,16.0,12.73
1225,16.0,12.434
1250,16.0,12.122
1275,16.0,11.793
1300,16.0,11.447
1325,16.0,11.081
1350,16.0,10.698
1375,16.0,10.3
1400,16.0,9.895
1425,16.0,9.504
1450,16.0,9.183
1475,16.0,0.0
1500,16.0,0.0
1525,16.0,0.0
1550,16.0,9.111
1575,16.0,9.43
1600,16.0,9.818
1625,16.0,10.22
1650,16.0,10.614
1675,16.0,10.994
1700,16.0,11.357
1725,16.0,11.701
1750,16.0,12.027
1775,16.0,12.337
1800,16.0,12.63
1825,16.0,12.91
1850,16.0,13.176
1875,16.0,13.43
1900,16.0,13.672
1100,18.0,11.359
1125,18.0,11.157
1150,18.0,10.947
1175,18.0,10.726
1200,18.0,10.494
1225,18.0,10.249
1250,18.0,9.992
1275,18.0,9.721
1300,18.0,9.435
1325,18.0,9.134
1350,18.0,8.819
1375,18.0,8.491
1400,18.0,8.157
1425,18.0,7.834
1450,18.0,7.57
1475,18.0,0.0
1500,18.0,0.0
1525,18.0,0.0
1550,18.0,7.901
1575,18.0,8.177
1600,18.0,8.513
1625,18.0,8.862
1650,18.0,9.204
1675,18.0,9.534
1700,18.0,9.848
1725,18.0,10.146
1750,18.0,10.429
1775,18.0,10.697
1800,18.0,10.952
1825,18.0,11.194
1850,18.0,11.425
1875,18.0,11.645
1900,18.0,11.855
1100,20.0,9.672
1125,20.0,9.501
1150,20.0,9.321
1175,20.0,9.133
1200,20.0,8.935
1225,20.0,8.728
1250,20.0,8.509
1275,20.0,8.278
1300,20.0,8.034
1325,20.0,7.778
1350,20.0,7.509
1375,20.0,7.23
1400,20.0,6.946
1425,20.0,6.671
1450,20.0,6.446
1475,20.0,0.0
1500,20.0,0.0
1525,20.0,0.0
1550,20.0,6.977
1575,20.0,7.22
1600,20.0,7.518
1625,20.0,7.825
1650,20.0,8.128
1675,20.0,8.419
1700,20.0,8.696
1725,20.0,8.959
1750,20.0,9.209
1775,20.0,9.446
1800,20.0,9.671
1825,20.0,9.885
1850,20.0,10.089
1875,20.0,10.283
1900,20.0,10.469
