pwm,voltage,value
1100,10.0,133.4
1125,10.0,118.696
1150,10.0,104.823
1175,10.0,91.779
1200,10.0,79.566
1225,10.0,68.182
1250,10.0,57.629
1275,10.0,47.905
1300,10.0,39.012
1325,10.0,30.949
1350,10.0,23.716
1375,10.0,17.312
1400,10.0,11.739
1425,10.0,6.996
1450,10.0,3.083
1475,10.0,0.5
1500,10.0,0.5
1525,10.0,0.5
1550,10.0,3.12
1575,10.0,7.08
1600,10.0,11.88
1625,10.0,17.52
1650,10.0,24.0
1675,10.0,31.32
1700,10.0,39.48
1725,10.0,48.48
1750,10.0,58.32
1775,10.0,69.0
1800,10.0,80.52
1825,10.0,92.88
1850,10.0,106.08
1875,10.0,120.12
1900,10.0,135.0
1100,12.0,187.68
1125,12.0,166.993
1150,12.0,147.475
1175,12.0,129.124
1200,12.0,111.941
1225,12.0,95.925
1250,12.0,81.078
1275,12.0,67.398
1300,12.0,54.886
1325,12.0,43.542
1350,12.0,33.365
1375,12.0,24.357
1400,12.0,16.516
1425,12.0,9.843
1450,12.0,4.337
1475,12.0,0.6
1500,12.0,0.6
1525,12.0,0.6
1550,12.0,4.715
1575,12.0,10.699
1600,12.0,17.952
1625,12.0,26.475
1650,12.0,36.267
1675,12.0,47.328
1700,12.0,59.659
1725,12.0,73.259
1750,12.0,88.128
1775,12.0,104.267
1800,12.0,121.675
1825,12.0,140.352
1850,12.0,160.299
1875,12.0,181.515
1900,12.0,204.0
1100,14.0,251.16
1125,14.0,223.477
1150,14.0,197.356
1175,14.0,172.798
1200,14.0,149.803
1225,14.0,128.371
1250,14.0,108.501
1275,14.0,90.194
1300,14.0,73.45
1325,14.0,58.269
1350,14.0,44.651
1375,14.0,32.595
1400,14.0,22.102
1425,14.0,13.172
1450,14.0,5.805
1475,14.0,0.7
1500,14.0,0.7
1525,14.0,0.7
1550,14.0,6.633
1575,14.0,15.052
1600,14.0,25.256
1625,14.0,37.246
1650,14.0,51.022
1675,14.0,66.584
1700,14.0,83.932
1725,14.0,103.065
1750,14.0,123.984
1775,14.0,146.689
1800,14.0,171.18
1825,14.0,197.456
1850,14.0,225.518
1875,14.0,255.366
1900,14.0,287.0
1100,16.0,323.84
1125,16.0,288.146
1150,16.0,254.466
1175,16.0,222.802
1200,16.0,193.153
1225,16.0,165.518
1250,16.0,139.899
1275,16.0,116.295
1300,16.0,94.705
1325,16.0,75.131
1350,16.0,57.572
1375,16.0,42.027
1400,16.0,28.498
1425,16.0,16.984
1450,16.0,7.484
1475,16.0,0.8
1500,16.0,0.8
1525,16.0,0.8
1550,16.0,8.875
1575,16.0,20.139
1600,16.0,33.792
1625,16.0,49.835
1650,16.0,68.267
1675,16.0,89.088
1700,16.0,112.299
1725,16.0,137.899
1750,16.0,165.888
1775,16.0,196.267
1800,16.0,229.035
1825,16.0,264.192
1850,16.0,301.739
1875,16.0,341.675
1900,16.0,384.0
1100,18.0,447.12
1125,18.0,397.837
1150,18.0,351.337
1175,18.0,307.619
1200,18.0,266.682
1225,18.0,228.528
1250,18.0,193.156
1275,18.0,160.566
1300,18.0,130.758
1325,18.0,103.732
1350,18.0,79.488
1375,18.0,58.026
1400,18.0,39.347
1425,18.0,23.449
1450,18.0,10.333
1475,18.0,0.9
1500,18.0,0.9
1525,18.0,0.9
1550,18.0,11.648
1575,18.0,26.432
1600,18.0,44.352
1625,18.0,65.408
1650,18.0,89.6
1675,18.0,116.928
1700,18.0,147.392
1725,18.0,180.992
1750,18.0,217.728
1775,18.0,257.6
1800,18.0,300.608
1825,18.0,346.752
1850,18.0,396.032
1875,18.0,448.448
1900,18.0,504.0
1100,20.0,588.8
1125,20.0,523.901
1150,20.0,462.666
1175,20.0,405.094
1200,20.0,351.186
1225,20.0,300.942
1250,20.0,254.362
1275,20.0,211.445
1300,20.0,172.191
1325,20.0,136.602
1350,20.0,104.676
1375,20.0,76.413
1400,20.0,51.814
1425,20.0,30.879
1450,20.0,13.608
1475,20.0,1.0
1500,20.0,1.0
1525,20.0,1.0
1550,20.0,14.791
1575,20.0,33.564
1600,20.0,56.32
1625,20.0,83.058
1650,20.0,113.778
1675,20.0,148.48
1700,20.0,187.164
1725,20.0,229.831
1750,20.0,276.48
1775,20.0,327.111
1800,20.0,381.724
1825,20.0,440.32
1850,20.0,502.898
1875,20.0,569.458
1900,20.0,640.0
