pwm,voltage,value
1100,10.0,-1800.0
1125,10.0,-1680.0
1150,10.0,-1560.0
1175,10.0,-1440.0
1200,10.0,-1320.0
1225,10.0,-1200.0
1250,10.0,-1080.0
1275,10.0,-960.0
1300,10.0,-840.0
1325,10.0,-720.0
1350,10.0,-600.0
1375,10.0,-480.0
1400,10.0,-360.0
1425,10.0,-240.0
1450,10.0,-120.0
1475,10.0,0.0
1500,10.0,0.0
1525,10.0,0.0
1550,10.0,120.0
1575,10.0,240.0
1600,10.0,360.0
1625,10.0,480.0
1650,10.0,600.0
1675,10.0,720.0
1700,10.0,840.0
1725,10.0,960.0
1750,10.0,1080.0
1775,10.0,1200.0
1800,10.0,1320.0
1825,10.0,1440.0
1850,10.0,1560.0
1875,10.0,1680.0
1900,10.0,1800.0
1100,12.0,-2100.0
1125,12.0,-1960.0
1150,12.0,-1820.0
1175,12.0,-1680.0
1200,12.0,-1540.0
1225,12.0,-1400.0
1250,12.0,-1260.0
1275,12.0,-1120.0
1300,12.0,-980.0
1325,12.0,-840.0
1350,12.0,-700.0
1375,12.0,-560.0
1400,12.0,-420.0
1425,12.0,-280.0
1450,12.0,-140.0
1475,12.0,0.0
1500,12.0,0.0
1525,12.0,0.0
1550,12.0,140.0
1575,12.0,280.0
1600,12.0,420.0
1625,12.0,560.0
1650,12.0,700.0
1675,12.0,840.0
1700,12.0,980.0
1725,12.0,1120.0
1750,12.0,1260.0
1775,12.0,1400.0
1800,12.0,1540.0
1825,12.0,1680.0
1850,12.0,1820.0
1875,12.0,1960.0
1900,12.0,2100.0
1100,14.0,-2400.0
1125,14.0,-2240.0
1150,14.0,-2080.0
1175,14.0,-1920.0
1200,14.0,-1760.0
1225,14.0,-1600.0
1250,14.0,-1440.0
1275,14.0,-1280.0
1300,14.0,-1120.0
1325,14.0,-960.0
1350,14.0,-800.0
1375,14.0,-640.0
1400,14.0,-480.0
1425,14.0,-320.0
1450,14.0,-160.0
1475,14.0,0.0
1500,14.0,0.0
1525,14.0,0.0
1550,14.0,160.0
1575,14.0,320.0
1600,14.0,480.0
1625,14.0,640.0
1650,14.0,800.0
1675,14.0,960.0
1700,14.0,1120.0
1725,14.0,1280.0
1750,14.0,1440.0
1775,14.0,1600.0
1800,14.0,1760.0
1825,14.0,1920.0
1850,14.0,2080.0
1875,14.0,2240.0
1900,14.0,2400.0
1100,16.0,-2700.0
1125,16.0,-2520.0
1150,16.0,-2340.0
1175,16.0,-2160.0
1200,16.0,-1980.0
1225,16.0,-1800.0
1250,16.0,-1620.0
1275,16.0,-1440.0
1300,16.0,-1260.0
1325,16.0,-1080.0
1350,16.0,-900.0
1375,16.0,-720.0
1400,16.0,-540.0
1425,16.0,-360.0
1450,16.0,-180.0
1475,16.0,0.0
1500,16.0,0.0
1525,16.0,0.0
1550,16.0,180.0
1575,16.0,360.0
1600,16.0,540.0
1625,16.0,720.0
1650,16.0,900.0
1675,16.0,1080.0
1700,16.0,1260.0
1725,16.0,1440.0
1750,16.0,1620.0
1775,16.0,1800.0
1800,16.0,1980.0
1825,16.0,2160.0
1850,16.0,2340.0
1875,16.0,2520.0
1900,16.0,2700.0
1100,18.0,-3000.0
1125,18.0,-2800.0
1150,18.0,-2600.0
1175,18.0,-2400.0
1200,18.0,-2200.0
1225,18.0,-2000.0
1250,18.0,-1800.0
1275,18.0,-1600.0
1300,18.0,-1400.0
1325,18.0,-1200.0
1350,18.0,-1000.0
1375,18.0,-800.0
1400,18.0,-600.0
1425,18.0,-400.0
1450,18.0,-200.0
1475,18.0,0.0
1500,18.0,0.0
1525,18.0,0.0
1550,18.0,200.0
1575,18.0,400.0
1600,18.0,600.0
1625,18.0,800.0
1650,18.0,1000.0
1675,18.0,1200.0
1700,18.0,1400.0
1725,18.0,1600.0
1750,18.0,1800.0
1775,18.0,2000.0
1800,18.0,2200.0
1825,18.0,2400.0
1850,18.0,2600.0
1875,18.0,2800.0
1900,18.0,3000.0
1100,20.0,-3300.0
1125,20.0,-3080.0
1150,20.0,-2860.0
1175,20.0,-2640.0
1200,20.0,-2420.0
1225,20.0,-2200.0
1250,20.0,-1980.0
1275,20.0,-1760.0
1300,20.0,-1540.0
1325,20.0,-1320.0
1350,20.0,-1100.0
1375,20.0,-880.0
1400,20.0,-660.0
1425,20.0,-440.0
1450,20.0,-220.0
1475,20.0,0.0
1500,20.0,0.0
1525,20.0,0.0
1550,20.0,220.0
1575,20.0,440.0
1600,20.0,660.0
1625,20.0,880.0
1650,20.0,1100.0
1675,20.0,1320.0
1700,20.0,1540.0
1725,20.0,1760.0
1750,20.0,1980.0
1775,20.0,2200.0
1800,20.0,2420.0
1825,20.0,2640.0
1850,20.0,2860.0
1875,20.0,3080.0
1900,20.0,3300.0
