pwm,voltage,value
1100,10.0,-2.499
1125,10.0,-2.184
1150,10.0,-1.892
1175,10.0,-1.623
1200,10.0,-1.377
1225,10.0,-1.153
1250,10.0,-0.95
1275,10.0,-0.768
1300,10.0,-0.607
1325,10.0,-0.466
1350,10.0,-0.345
1375,10.0,-0.242
1400,10.0,-0.158
1425,10.0,-0.09
1450,10.0,-0.038
1475,10.0,0.0
1500,10.0,0.0
1525,10.0,0.0
1550,10.0,0.045
1575,10.0,0.106
1600,10.0,0.186
1625,10.0,0.285
1650,10.0,0.406
1675,10.0,0.549
1700,10.0,0.714
1725,10.0,0.904
1750,10.0,1.117
1775,10.0,1.356
1800,10.0,1.62
1825,10.0,1.91
1850,10.0,2.226
1875,10.0,2.57
1900,10.0,2.94
1100,12.0,-3.153
1125,12.0,-2.756
1150,12.0,-2.388
1175,12.0,-2.049
1200,12.0,-1.738
1225,12.0,-1.454
1250,12.0,-1.198
1275,12.0,-0.969
1300,12.0,-0.766
1325,12.0,-0.588
1350,12.0,-0.435
1375,12.0,-0.306
1400,12.0,-0.199
1425,12.0,-0.114
1450,12.0,-0.049
1475,12.0,0.0
1500,12.0,0.0
1525,12.0,0.0
1550,12.0,0.057
1575,12.0,0.134
1600,12.0,0.234
1625,12.0,0.36
1650,12.0,0.512
1675,12.0,0.692
1700,12.0,0.901
1725,12.0,1.14
1750,12.0,1.41
1775,12.0,1.711
1800,12.0,2.044
1825,12.0,2.41
1850,12.0,2.809
1875,12.0,3.243
1900,12.0,3.71
1100,14.0,-3.808
1125,14.0,-3.328
1150,14.0,-2.884
1175,14.0,-2.474
1200,14.0,-2.098
1225,14.0,-1.756
1250,14.0,-1.447
1275,14.0,-1.17
1300,14.0,-0.925
1325,14.0,-0.71
1350,14.0,-0.526
1375,14.0,-0.369
1400,14.0,-0.241
1425,14.0,-0.138
1450,14.0,-0.059
1475,14.0,0.0
1500,14.0,0.0
1525,14.0,0.0
1550,14.0,0.069
1575,14.0,0.162
1600,14.0,0.283
1625,14.0,0.435
1650,14.0,0.618
1675,14.0,0.836
1700,14.0,1.088
1725,14.0,1.377
1750,14.0,1.703
1775,14.0,2.066
1800,14.0,2.469
1825,14.0,2.91
1850,14.0,3.393
1875,14.0,3.916
1900,14.0,4.48
1100,16.0,-4.462
1125,16.0,-3.9
1150,16.0,-3.379
1175,16.0,-2.899
1200,16.0,-2.459
1225,16.0,-2.058
1250,16.0,-1.696
1275,16.0,-1.371
1300,16.0,-1.084
1325,16.0,-0.833
1350,16.0,-0.616
1375,16.0,-0.433
1400,16.0,-0.282
1425,16.0,-0.161
1450,16.0,-0.069
1475,16.0,0.0
1500,16.0,0.0
1525,16.0,0.0
1550,16.0,0.081
1575,16.0,0.19
1600,16.0,0.332
1625,16.0,0.509
1650,16.0,0.725
1675,16.0,0.979
1700,16.0,1.275
1725,16.0,1.614
1750,16.0,1.995
1775,16.0,2.421
1800,16.0,2.893
1825,16.0,3.411
1850,16.0,3.976
1875,16.0,4.589
1900,16.0,5.25
1100,18.0,-5.079
1125,18.0,-4.439
1150,18.0,-3.846
1175,18.0,-3.299
1200,18.0,-2.798
1225,18.0,-2.342
1250,18.0,-1.93
1275,18.0,-1.561
1300,18.0,-1.234
1325,18.0,-0.948
1350,18.0,-0.701
1375,18.0,-0.493
1400,18.0,-0.321
1425,18.0,-0.184
1450,18.0,-0.078
1475,18.0,0.0
1500,18.0,0.0
1525,18.0,0.0
1550,18.0,0.092
1575,18.0,0.216
1600,18.0,0.378
1625,18.0,0.58
1650,18.0,0.825
1675,18.0,1.115
1700,18.0,1.451
1725,18.0,1.836
1750,18.0,2.271
1775,18.0,2.756
1800,18.0,3.292
1825,18.0,3.882
1850,18.0,4.525
1875,18.0,5.222
1900,18.0,5.975
1100,20.0,-5.695
1125,20.0,-4.977
1150,20.0,-4.313
1175,20.0,-3.7
1200,20.0,-3.138
1225,20.0,-2.626
1250,20.0,-2.164
1275,20.0,-1.75
1300,20.0,-1.383
1325,20.0,-1.062
1350,20.0,-0.786
1375,20.0,-0.552
1400,20.0,-0.36
1425,20.0,-0.206
1450,20.0,-0.088
1475,20.0,0.0
1500,20.0,0.0
1525,20.0,0.0
1550,20.0,0.103
1575,20.0,0.242
1600,20.0,0.423
1625,20.0,0.65
1650,20.0,0.925
1675,20.0,1.25
1700,20.0,1.628
1725,20.0,2.059
1750,20.0,2.546
1775,20.0,3.09
1800,20.0,3.692
1825,20.0,4.353
1850,20.0,5.074
1875,20.0,5.856
1900,20.0,6.7
