timestamp,pwm,voltage,current,esc_temperature
0.0,1500,16.20,0.07,22.0
0.1,1500,16.20,0.05,21.9
0.2,1500,16.20,0.11,22.0
0.3,1500,16.21,0.03,22.0
0.4,1500,16.21,0.10,22.0
0.5,1500,16.21,0.06,22.0
0.6,1500,16.21,0.06,21.9
0.7,1500,16.22,0.10,22.0
0.8,1500,16.22,0.03,22.0
0.9,1500,16.22,0.11,22.0
1.0,1500,16.22,0.05,22.0
1.1,1500,16.23,0.07,21.9
1.2,1500,16.23,0.09,21.9
1.3,1500,16.23,0.03,22.0
1.4,1500,16.23,0.11,22.0
1.5,1500,16.23,0.04,21.9
1.6,1500,16.23,0.08,21.9
1.7,1500,16.24,0.08,21.9
1.8,1500,16.24,0.04,22.0
1.9,1500,16.24,0.11,22.0
2.0,1500,16.24,0.04,21.9
2.1,1500,16.24,0.09,21.9
2.2,1500,16.24,0.07,21.9
2.3,1500,16.24,0.05,22.0
2.4,1500,16.25,0.11,22.0
2.5,1500,16.25,0.03,21.9
2.6,1500,16.25,0.10,21.9
2.7,1500,16.25,0.06,21.9
2.8,1500,16.25,0.05,22.0
2.9,1500,16.25,0.10,21.9
3.0,1500,16.25,0.03,21.9
3.1,1500,16.25,0.10,21.9
3.2,1500,16.25,0.05,21.9
3.3,1500,16.25,0.06,22.0
3.4,1500,16.25,0.10,21.9
3.5,1500,16.25,0.03,21.9
3.6,1500,16.25,0.11,21.9
3.7,1500,16.25,0.04,21.9
3.8,1500,16.25,0.08,21.9
3.9,1500,16.25,0.09,21.9
4.0,1500,16.24,0.04,21.8
4.1,1500,16.24,0.11,21.8
4.2,1500,16.24,0.04,21.9
4.3,1500,16.24,0.09,21.9
4.4,1500,16.24,0.08,21.9
4.5,1500,16.24,0.04,21.8
4.6,1500,16.24,0.11,21.8
4.7,1500,16.23,0.03,21.9
4.8,1500,16.23,0.09,21.9
4.9,1500,16.23,0.07,21.9
5.0,1500,16.23,0.05,21.8
5.1,1500,16.23,0.10,21.8
5.2,1500,16.22,0.03,21.9
5.3,1500,16.22,0.10,21.9
5.4,1500,16.22,0.06,21.8
5.5,1500,16.22,0.06,21.8
5.6,1500,16.22,0.10,21.8
5.7,1500,16.21,0.03,21.9
5.8,1500,16.21,0.11,21.9
5.9,1500,16.21,0.05,21.8
6.0,1500,16.21,0.07,21.8
6.1,1500,16.20,0.09,21.8
6.2,1500,16.20,0.03,21.9
6.3,1500,16.20,0.11,21.9
6.4,1500,16.20,0.04,21.8
6.5,1500,16.19,0.08,21.8
6.6,1500,16.19,0.08,21.8
6.7,1500,16.19,0.04,21.9
6.8,1500,16.19,0.11,21.8
6.9,1500,16.18,0.03,21.8
7.0,1500,16.18,0.09,21.7
7.1,1500,16.18,0.07,21.8
7.2,1500,16.18,0.05,21.8
7.3,1500,16.17,0.11,21.8
7.4,1500,16.17,0.03,21.8
7.5,1500,16.17,0.10,21.7
7.6,1500,16.17,0.06,21.8
7.7,1500,16.17,0.06,21.8
7.8,1500,16.16,0.10,21.8
7.9,1500,16.16,0.03,21.7
8.0,1500,16.16,0.11,21.7
8.1,1500,16.16,0.05,21.8
8.2,1500,16.16,0.07,21.8
8.3,1500,16.16,0.09,21.8
8.4,1500,16.16,0.03,21.7
8.5,1500,16.15,0.11,21.7
8.6,1500,16.15,0.04,21.8
8.7,1500,16.15,0.08,21.8
8.8,1500,16.15,0.08,21.8
8.9,1500,16.15,0.04,21.7
9.0,1500,16.15,0.11,21.7
9.1,1500,16.15,0.04,21.8
9.2,1500,16.15,0.09,21.8
9.3,1500,16.15,0.07,21.7
9.4,1500,16.15,0.05,21.7
9.5,1500,16.15,0.11,21.7
9.6,1500,16.15,0.03,21.8
9.7,1500,16.15,0.10,21.8
9.8,1500,16.15,0.06,21.7
9.9,1500,16.15,0.05,21.7
10.0,1580,16.12,1.47,21.7
10.1,1580,16.12,1.40,21.8
10.2,1580,16.13,1.47,21.8
10.3,1580,16.13,1.42,21.7
10.4,1580,16.13,1.43,21.7
10.5,1580,16.13,1.46,21.7
10.6,1580,16.13,1.40,21.7
10.7,1580,16.13,1.48,21.7
10.8,1580,16.13,1.41,21.7
10.9,1580,16.13,1.44,21.6
11.0,1580,16.14,1.45,21.7
11.1,1580,16.14,1.40,21.7
11.2,1580,16.14,1.48,21.7
11.3,1580,16.14,1.40,21.7
11.4,1580,16.14,1.45,21.6
11.5,1580,16.15,1.44,21.7
11.6,1580,16.15,1.41,21.7
11.7,1580,16.15,1.48,21.7
11.8,1580,16.15,1.40,21.6
11.9,1580,16.16,1.46,21.6
12.0,1580,16.16,1.43,21.7
12.1,1580,16.16,1.42,21.7
12.2,1580,16.16,1.47,21.7
12.3,1580,16.17,1.40,21.6
